"class","age_class","gender","fec","deaths","week","pob","class2","date_plot"
"2","60-+","2",2020-03-27,3,13,126073,8,2020-03-27
"1","0-59","1",2020-03-28,2,13,4190359,1,2020-03-28
"1","0-59","2",2020-03-28,1,13,4074690,2,2020-03-28
"1","60-+","1",2020-03-28,0,13,557258,3,2020-03-28
"1","60-+","2",2020-03-28,2,13,500271,4,2020-03-28
"2","0-59","1",2020-03-28,0,13,624067,5,2020-03-28
"2","0-59","2",2020-03-28,0,13,555371,6,2020-03-28
"2","60-+","1",2020-03-28,0,13,176506,7,2020-03-28
"2","60-+","2",2020-03-28,1,13,126073,8,2020-03-28
"1","0-59","1",2020-03-29,1,13,4190359,1,2020-03-29
"1","0-59","2",2020-03-29,1,13,4074690,2,2020-03-29
"1","60-+","1",2020-03-29,3,13,557258,3,2020-03-29
"1","60-+","2",2020-03-29,2,13,500271,4,2020-03-29
"2","0-59","1",2020-03-29,0,13,624067,5,2020-03-29
"2","0-59","2",2020-03-29,0,13,555371,6,2020-03-29
"2","60-+","1",2020-03-29,0,13,176506,7,2020-03-29
"2","60-+","2",2020-03-29,1,13,126073,8,2020-03-29
"1","0-59","1",2020-03-30,0,14,4190359,1,2020-03-30
"1","0-59","2",2020-03-30,0,14,4074690,2,2020-03-30
"1","60-+","1",2020-03-30,2,14,557258,3,2020-03-30
"1","60-+","2",2020-03-30,4,14,500271,4,2020-03-30
"2","0-59","1",2020-03-30,0,14,624067,5,2020-03-30
"2","0-59","2",2020-03-30,2,14,555371,6,2020-03-30
"2","60-+","1",2020-03-30,0,14,176506,7,2020-03-30
"2","60-+","2",2020-03-30,0,14,126073,8,2020-03-30
"1","0-59","1",2020-03-31,0,14,4190359,1,2020-03-31
"1","0-59","2",2020-03-31,3,14,4074690,2,2020-03-31
"1","60-+","1",2020-03-31,3,14,557258,3,2020-03-31
"1","60-+","2",2020-03-31,2,14,500271,4,2020-03-31
"2","0-59","1",2020-03-31,0,14,624067,5,2020-03-31
"2","0-59","2",2020-03-31,0,14,555371,6,2020-03-31
"2","60-+","1",2020-03-31,1,14,176506,7,2020-03-31
"2","60-+","2",2020-03-31,1,14,126073,8,2020-03-31
"1","0-59","1",2020-04-01,2,14,4190359,1,2020-04-01
"1","0-59","2",2020-04-01,3,14,4074690,2,2020-04-01
"1","60-+","1",2020-04-01,4,14,557258,3,2020-04-01
"1","60-+","2",2020-04-01,1,14,500271,4,2020-04-01
"2","0-59","1",2020-04-01,0,14,624067,5,2020-04-01
"2","0-59","2",2020-04-01,0,14,555371,6,2020-04-01
"2","60-+","1",2020-04-01,0,14,176506,7,2020-04-01
"2","60-+","2",2020-04-01,2,14,126073,8,2020-04-01
"1","0-59","1",2020-04-02,2,14,4190359,1,2020-04-02
"1","0-59","2",2020-04-02,4,14,4074690,2,2020-04-02
"1","60-+","1",2020-04-02,0,14,557258,3,2020-04-02
"1","60-+","2",2020-04-02,5,14,500271,4,2020-04-02
"2","0-59","1",2020-04-02,0,14,624067,5,2020-04-02
"2","0-59","2",2020-04-02,0,14,555371,6,2020-04-02
"2","60-+","1",2020-04-02,0,14,176506,7,2020-04-02
"2","60-+","2",2020-04-02,0,14,126073,8,2020-04-02
"1","0-59","1",2020-04-03,2,14,4190359,1,2020-04-03
"1","0-59","2",2020-04-03,2,14,4074690,2,2020-04-03
"1","60-+","1",2020-04-03,3,14,557258,3,2020-04-03
"1","60-+","2",2020-04-03,8,14,500271,4,2020-04-03
"2","0-59","1",2020-04-03,0,14,624067,5,2020-04-03
"2","0-59","2",2020-04-03,1,14,555371,6,2020-04-03
"2","60-+","1",2020-04-03,0,14,176506,7,2020-04-03
"2","60-+","2",2020-04-03,5,14,126073,8,2020-04-03
"1","0-59","1",2020-04-04,0,14,4190359,1,2020-04-04
"1","0-59","2",2020-04-04,7,14,4074690,2,2020-04-04
"1","60-+","1",2020-04-04,4,14,557258,3,2020-04-04
"1","60-+","2",2020-04-04,10,14,500271,4,2020-04-04
"2","0-59","1",2020-04-04,0,14,624067,5,2020-04-04
"2","0-59","2",2020-04-04,0,14,555371,6,2020-04-04
"2","60-+","1",2020-04-04,2,14,176506,7,2020-04-04
"2","60-+","2",2020-04-04,2,14,126073,8,2020-04-04
"1","0-59","1",2020-04-05,1,14,4190359,1,2020-04-05
"1","0-59","2",2020-04-05,5,14,4074690,2,2020-04-05
"1","60-+","1",2020-04-05,1,14,557258,3,2020-04-05
"1","60-+","2",2020-04-05,4,14,500271,4,2020-04-05
"2","0-59","1",2020-04-05,0,14,624067,5,2020-04-05
"2","0-59","2",2020-04-05,0,14,555371,6,2020-04-05
"2","60-+","1",2020-04-05,1,14,176506,7,2020-04-05
"2","60-+","2",2020-04-05,1,14,126073,8,2020-04-05
"1","0-59","1",2020-04-06,3,15,4190359,1,2020-04-06
"1","0-59","2",2020-04-06,6,15,4074690,2,2020-04-06
"1","60-+","1",2020-04-06,4,15,557258,3,2020-04-06
"1","60-+","2",2020-04-06,11,15,500271,4,2020-04-06
"2","0-59","1",2020-04-06,0,15,624067,5,2020-04-06
"2","0-59","2",2020-04-06,2,15,555371,6,2020-04-06
"2","60-+","1",2020-04-06,1,15,176506,7,2020-04-06
"2","60-+","2",2020-04-06,3,15,126073,8,2020-04-06
"1","0-59","1",2020-04-07,1,15,4190359,1,2020-04-07
"1","0-59","2",2020-04-07,6,15,4074690,2,2020-04-07
"1","60-+","1",2020-04-07,6,15,557258,3,2020-04-07
"1","60-+","2",2020-04-07,10,15,500271,4,2020-04-07
"2","0-59","1",2020-04-07,0,15,624067,5,2020-04-07
"2","0-59","2",2020-04-07,0,15,555371,6,2020-04-07
"2","60-+","1",2020-04-07,1,15,176506,7,2020-04-07
"2","60-+","2",2020-04-07,3,15,126073,8,2020-04-07
"1","0-59","1",2020-04-08,4,15,4190359,1,2020-04-08
"1","0-59","2",2020-04-08,13,15,4074690,2,2020-04-08
"1","60-+","1",2020-04-08,5,15,557258,3,2020-04-08
"1","60-+","2",2020-04-08,17,15,500271,4,2020-04-08
"2","0-59","1",2020-04-08,0,15,624067,5,2020-04-08
"2","0-59","2",2020-04-08,0,15,555371,6,2020-04-08
"2","60-+","1",2020-04-08,2,15,176506,7,2020-04-08
"2","60-+","2",2020-04-08,3,15,126073,8,2020-04-08
"1","0-59","1",2020-04-09,4,15,4190359,1,2020-04-09
"1","0-59","2",2020-04-09,13,15,4074690,2,2020-04-09
"1","60-+","1",2020-04-09,11,15,557258,3,2020-04-09
"1","60-+","2",2020-04-09,8,15,500271,4,2020-04-09
"2","0-59","1",2020-04-09,0,15,624067,5,2020-04-09
"2","0-59","2",2020-04-09,1,15,555371,6,2020-04-09
"2","60-+","1",2020-04-09,0,15,176506,7,2020-04-09
"2","60-+","2",2020-04-09,2,15,126073,8,2020-04-09
"1","0-59","1",2020-04-10,1,15,4190359,1,2020-04-10
"1","0-59","2",2020-04-10,12,15,4074690,2,2020-04-10
"1","60-+","1",2020-04-10,9,15,557258,3,2020-04-10
"1","60-+","2",2020-04-10,20,15,500271,4,2020-04-10
"2","0-59","1",2020-04-10,0,15,624067,5,2020-04-10
"2","0-59","2",2020-04-10,0,15,555371,6,2020-04-10
"2","60-+","1",2020-04-10,1,15,176506,7,2020-04-10
"2","60-+","2",2020-04-10,4,15,126073,8,2020-04-10
"1","0-59","1",2020-04-11,3,15,4190359,1,2020-04-11
"1","0-59","2",2020-04-11,10,15,4074690,2,2020-04-11
"1","60-+","1",2020-04-11,12,15,557258,3,2020-04-11
"1","60-+","2",2020-04-11,21,15,500271,4,2020-04-11
"2","0-59","1",2020-04-11,0,15,624067,5,2020-04-11
"2","0-59","2",2020-04-11,2,15,555371,6,2020-04-11
"2","60-+","1",2020-04-11,1,15,176506,7,2020-04-11
"2","60-+","2",2020-04-11,5,15,126073,8,2020-04-11
"1","0-59","1",2020-04-12,4,15,4190359,1,2020-04-12
"1","0-59","2",2020-04-12,19,15,4074690,2,2020-04-12
"1","60-+","1",2020-04-12,13,15,557258,3,2020-04-12
"1","60-+","2",2020-04-12,17,15,500271,4,2020-04-12
"2","0-59","1",2020-04-12,0,15,624067,5,2020-04-12
"2","0-59","2",2020-04-12,0,15,555371,6,2020-04-12
"2","60-+","1",2020-04-12,1,15,176506,7,2020-04-12
"2","60-+","2",2020-04-12,1,15,126073,8,2020-04-12
"1","0-59","1",2020-04-13,3,16,4190359,1,2020-04-13
"1","0-59","2",2020-04-13,15,16,4074690,2,2020-04-13
"1","60-+","1",2020-04-13,13,16,557258,3,2020-04-13
"1","60-+","2",2020-04-13,23,16,500271,4,2020-04-13
"2","0-59","1",2020-04-13,0,16,624067,5,2020-04-13
"2","0-59","2",2020-04-13,1,16,555371,6,2020-04-13
"2","60-+","1",2020-04-13,0,16,176506,7,2020-04-13
"2","60-+","2",2020-04-13,2,16,126073,8,2020-04-13
"1","0-59","1",2020-04-14,5,16,4190359,1,2020-04-14
"1","0-59","2",2020-04-14,17,16,4074690,2,2020-04-14
"1","60-+","1",2020-04-14,13,16,557258,3,2020-04-14
"1","60-+","2",2020-04-14,36,16,500271,4,2020-04-14
"2","0-59","1",2020-04-14,1,16,624067,5,2020-04-14
"2","0-59","2",2020-04-14,0,16,555371,6,2020-04-14
"2","60-+","1",2020-04-14,4,16,176506,7,2020-04-14
"2","60-+","2",2020-04-14,2,16,126073,8,2020-04-14
"1","0-59","1",2020-04-15,4,16,4190359,1,2020-04-15
"1","0-59","2",2020-04-15,15,16,4074690,2,2020-04-15
"1","60-+","1",2020-04-15,15,16,557258,3,2020-04-15
"1","60-+","2",2020-04-15,25,16,500271,4,2020-04-15
"2","0-59","1",2020-04-15,0,16,624067,5,2020-04-15
"2","0-59","2",2020-04-15,1,16,555371,6,2020-04-15
"2","60-+","1",2020-04-15,2,16,176506,7,2020-04-15
